heading,subheading,category
BBC Verify,"The ship carried armoured personnel carriers and trucks through the English Channel to Africa, satellite images show.",business
'I feel like I dug my own grave': The workers caught in the AI transition,"She began writing straight out of college, freelanced for years and eventually followed a path taken by many young Filipinos: joining a multinational in the country's booming outsourcing industry.",business
What tariffs has Trump introduced and why?,He argues these import taxes boost US manufacturing and create jobs. But critics say they have put up prices for American consumers and disrupted and damaged the global economy.,business
UK,"Zack Polanski has accused ministers of a ""dereliction of duty"" in response to this summer's heatwaves.",business
UK,"Hewitt stabbed Angela Lloyd to death after forcing her way into the victim's home, a court hears.",business
Beauty Pie founder on how she dropped out of university and built five beauty businesses,"Before founding Beauty Pie in 2016, Kilgore had built other brands including luxury day spa Bliss, make-up and skincare range Soap & Glory and footwear brand FitFlop.",business
From potato harvest to packet of crisps in 24 hours,"In a field near York, the journey from the soil to the shelf is just beginning.",business
Wales,"Plans to make social care free at the point of use will not happen before 2030, a minister says.",business
Anthropic's Claude AI escapes to hack into three organisations,The models found a weakness in what was supposed to be an isolated test environment and connected to the internet.,business
Wales,Sam Knight was left with severely blistered feet from hot sand after using a disposable barbecue.,business
What you wear can help you get a job - here's how,"A London-based science graduate from two top universities in the UK capital, the 23-year-old had applied for a marketing job at a womenswear brand. She had done her homework, and devised a promotional campaign for the business.",business
South Korean shares soar after chip stock rout,"The benchmark Kospi index closed almost 18% higher, driven by chip makers SK Hynix and Samsung Electronics.",business
The Sims and EA FC maker Electronic Arts sells for $55bn to Saudi-led group,"The American company is known for making and publishing best-selling games such as EA FC, formerly known as Fifa, The Sims and Mass Effect.",business
How tech is helping in the battle against wildfires,"Hundreds of thousandsof people have been forced to leave their homes across France, Spain and Portugal as wildfires tore through forests and countryside.",business
New Spider-Man film sees second-biggest ever global opening weekend,"The superhero movie - starring real-life husband and wife Tom Holland and Zendaya - is only behindAvengers: Endgame, which took in more than $1.2bn inits opening weekendin 2019.",business
BBC InDepth,"As child immunisation rates fall across the UK, one clinic in west Yorkshire is taking aggressive steps to boost immunisations",business
SpaceX shares sink after first earnings report reveals huge AI spending plans,"While the firm's quarterly revenue had nearly doubled to $7.8bn (£5.8bn) from a year earlier, its spending ballooned to $18.3bn, more than six times what it was a year ago, the bulk of which was for AI.",business
Latin America,"César Gastélum, who was known for comedy and lifestyle posts, was killed at close range by a man on a motorbike.",business
In Pictures,Parks are parched and reservoirs diminished as drought is declared in more than half of England.,business
Asia,"All 14 people on board the Indian-flagged vessel were safely rescued, India's ministry of external affairs says.",business
Tokenomics: Why making AI pay is tricky,"Firms like Microsoft, Google and Anthropic have invested hundreds of billions of dollars in developing Large Language Models (LLMs) the tech behind those services.",business
"Apple warns of future 'supply constraints' for Mac, iPhone, iPad","Shares in the company fell in after-hours trading by more than 7%, even as it showed a 16% increase in revenue to $109b (£81b) thanks in part to unexpectedly high iPhone sales, and a 26% increase in profits to $29b.",business
Anthropic AI created fake profiles and impersonated people in attempted hack,"In the most serious case, Anthropic's Mythos AI tried to gain access to a service by sending private messages, having set up fake accounts mimicking real people.",business
Europe,The drone was found in the cargo area near a Ukrainian aircraft before another suspected object collided with a cargo aircraft in mid-air.,business
Jetstar introduces fees for carry-on luggage in overhead lockers,From February the airline is scrapping its 7kg (15.4lb) limit on hand luggage. Instead all passengers will be allowed a smaller bag that can fit under the seat in front and the option to pay for space for a larger bag in the overhead locker and priority boarding.,business
Asia,Their fellow guides say their deaths in Pakistan dealt a devastating blow to Nepal's mountaineering community.,business
Middle East,"All 14 people on board the Indian-flagged vessel were safely rescued, India's ministry of external affairs says.",business
UK petrol prices hit highest level since Iran war began,"The average cost of petrol has reached more than 160p per litre, according to motoring group the RAC.",business
N. Ireland,The former Sinn Féin MEP and republican prisoner says the current political situation is different to when she was in the IRA.,business
The cost of being single – and how friends are teaming up to beat it,"She was earning a good salary but the properties she was hoping for - with a garden and parking space - were too expensive on her own. While she'd just started seeing someone new, it was very early days - far too early to discuss living together.",business
US and Japan take action to prop up yen in rare joint move,"The joint intervention is the first since 2011, when both countries took coordinated action to weaken the yen after the devastating earthquake and tsunami that hit eastern Japan.",business
Why Trump Media's sale of fast access to market-moving social posts is controversial,"From trade wars to military wars, anything the US president says can shift markets, and so teams of traders - as well as a host of automated computer systems - monitor his statements to perform trades within seconds.",business
Amazon and Apple just told us more about their AI plans - here are three things we learned,One common thread emerged: they are all planning to continue spending massive amounts of money on artificial intelligence (AI).,business
Africa,"A wave of Kenyan elephant deaths has been blamed on pesticides, but experts tell the BBC they are doubtful.",business
India wants to join the strawberry superpowers,Around 85% of India's strawberry cultivation happens there.,business
Trump considering AI controls after OpenAI hacking incidents,"Asked about OpenAI's tools being responsible forimproperly breachingthe private technology of other companies, Trump said: ""We're looking at AI, we're looking at controls, we're also making sure that we lead.""",business
Australia,Emma Lovell was stabbed after confronting two intruders at her Brisbane home on Boxing Day in 2022.,business
UK,"Joshua Bonehill-Paine was jailed over neo-Nazi activism, but has been selected to stand in a new Somerset Council seat in 2027.",business
New candy stores are popping up across NYC. Why?,"Mitchell Cohen, the third-generation owner of Economy Candy, on Manhattan's Lower East Side, has a theory – people will still buy candy (or sweets, as they are called in British English) – when economic times are difficult.",business
US & Canada,"While the collision was an accident, it is a unique scientific gift for planetary geologists that could provide important data for future space missions.",business
'Every day I'm just winging it': The families hoping for social care reform,"He wants an independent review of care to be brought forward by a year to 2027, as well as major reforms to pay and conditions for staff and the creation of a national care service.",politics
"My dog Axel 'wouldn't get on' with Larry the cat, says Burnham","Burnham revealed he does not think his poodle-mix would get along with Larry the cat, who has lived at the residence for 15 years.",politics
Scotland,"Sharif Ahmadzai, 26, is being held in connection with the death of Elisabeth Ross from Edinburgh.",politics
Shapps blocked from standing again for the Conservatives,"Sir Grant, who has declined to comment, served in nine ministerial roles in government as well as co-chairing the party.",politics
N. Ireland,"Anna Owens said she felt ""betrayed and deflated"" when the arrangements she had verbally agreed were changed by a new manager.",politics
Chris Mason: Sarwar ministerial role sees promotion of another Starmer critic,"When Sarwar said publicly, back in February, that Sir Keir should stand down, it was a moment of colossal jeopardy for the now former prime minister.",politics
Laura Kuenssberg goes behind the scenes with Andy Burnham in his first week as PM,The BBC's Laura Kuenssberg met Burnham for his first sit-down interview since taking charge and got an exclusive behind the scenes look at the new Manchester office.,politics
"Government to function as normal while Burnham on holiday, No 10 says","Burnham is taking a break from his day-to-day duties to spend time with his family, after entering No 10 two weeks ago.",politics
Can Burnham's casual style survive contact with No 10?,"At some point though, he'll have to find time to decide what to wear.",politics
Chris Mason: What his first week in power tells us about Andy Burnham,It has been quite the week at Westminster. Sir Keir Starmer's departure as prime minister on Monday seems rather a while ago.,politics
Should Glasgow have its own mayor?,Copyright 2026 BBC. All rights reserved. The BBC is not responsible for the content of external sites.Read about our approach to external linking.,politics
"Restrict sale of pet flea treatments, government urged",Spot-on treatments to prevent parasite infestations in fur and on skin are currently widely available for pet owners to buy in supermarkets and online.,politics
Scottish Labour leader Anas Sarwar set to become a minister in Burnham's government,"It would mean Sarwar leaving the Scottish Parliament and his leader role, then taking up a seat in the House of Lords.",politics
"Burnham failing public over heat threats, says Green leader","In a speech, the Green Party leader said the threat to public health and food supplies posed the ""biggest threat to this country since the Second World War"".",politics
Farage says he discussed return to politics months before general election,It comes afterThe Sunday Timesreported Farage had negotiated a deal in March and April 2024 with then-Reform leader Richard Tice to return to lead the party.,politics
Asia,"The company's shares soared by nearly 470% in its market debut, as the AI boom drives chip demand.",politics
Scotland,Candidates in the race to replace Anas Sarwar have two weeks to secure the support needed to reach the ballot.,politics
"Welsh national social care service will not arrive before next Senedd election, says minister","Plaid Cymru's 2026 Senedd election manifesto said the party believed ""social care, like healthcare, should be provided free at the point of use to all those who need it"".",politics
BBC Verify,"The ship carried armoured personnel carriers and trucks through the English Channel to Africa, satellite images show.",politics
Andy Burnham wants to fix social care - what are the options?,In a speech at a care home on Wednesday he announced that cross-party talks involving the Conservatives and Liberal Democrats would start later.,politics
UK,"Zack Polanski has accused ministers of a ""dereliction of duty"" in response to this summer's heatwaves.",politics
The Nowak murder has lit a match under British politics. This is how we got here,"They were being taken on a tour of the labyrinthine building in between meetings with Conservative leader Kemi Badenoch and their appointment at Downing Street with the prime minister. They'd climbed the steep steps to the crammed public gallery to take a peek at the Commons Chamber when, by chance, the leader of the Commons, Alan Campbell, and his opposite number, Jesse Norman, both paid tribute to their son, and the dignity of the family.",politics
Burnham tells cabinet to tackle living costs at first meeting,"He told his newly assembled top team that he wanted to make living expenses a key priority, and give people a ""sense that help is coming"" on costs.",politics
UK,"Hewitt stabbed Angela Lloyd to death after forcing her way into the victim's home, a court hears.",politics
Wales,"Plans to make social care free at the point of use will not happen before 2030, a minister says.",politics
"Burnham not actively considering Epstein inquiry, No 10 says","It comes after Victims Minister Alex Davies-Jones told BBC Newsnight the prime minister was ""looking into"" the possibility of an inquiry into the alleged actions of Epstein and the former Harrods owner Mohamed Al Fayed.",politics
Burnham has big ideas - but what will they cost?,"For example, Burnham has said Tuesday's announcements on cost of living support would be paid for. In other words, it would mean a tax rise or spending cut, so we will see rather quickly what the new PM prioritises when push comes to shove.",politics
Our exclusive behind-the-scenes access at No 10 as Andy Burnham became PM,"The applause duly began before the famous door opened, so the first sight and sound to greet Andy Burnham and his wife were crowds of clapping staff, crammed into the Downing Street hall. They stretched up the long corridor all the way to the door of the Cabinet Room - left ajar for him to walk straight in and get down to work.",politics
Wales,Sam Knight was left with severely blistered feet from hot sand after using a disposable barbecue.,politics
"Prioritise new jobs over green targets to win public contracts, firms told",The prime minister will overhaul the £90bn public procurement system so bidders have to show they are supporting young people into work and addressing local skills shortages.,politics
Apple issues new challenge against UK order for access to private user data,"The tech giant has not told BBC News what the complaint relates to butthe Financial Timeshas reported it is another challenge to a Home Office demand for so-called ""backdoor"" access to highly encrypted Apple user data.",politics
Burnham's 'Manchesterism' got him to No 10 - but will it work for the UK?,"When I met him there a few weeks later, he told me he planned to deal with his disappointment with some ambitious plans for his city region.",politics
France hits out at Reform UK plan to return migrants using Navy,"Nigel Farage's party announced that if it was in power it would intercept boats crossing the English Channel and return migrants to French ports, even if France disagreed.",politics
Sir John Curtice: The 'Burnham bounce' is real but it's not massive,Polls conducted in the last week put Labour on average in the mid 20s. It is the party's highest standing since the beginning of last year and compares to their rating of 19% in late June when Sir Keir Starmer announced he was standing down.,politics
He'll be the first Andy in No 10 - but his rise to power has been decades in the making,He will not be the first Andrew to occupy Number 10 - Andrew Bonar Law got there first in 1922.,politics
BBC InDepth,"As child immunisation rates fall across the UK, one clinic in west Yorkshire is taking aggressive steps to boost immunisations",politics
Latin America,"César Gastélum, who was known for comedy and lifestyle posts, was killed at close range by a man on a motorbike.",politics
In Pictures,Parks are parched and reservoirs diminished as drought is declared in more than half of England.,politics
Asia,"All 14 people on board the Indian-flagged vessel were safely rescued, India's ministry of external affairs says.",politics
Justice secretary apologises to families affected by early release scheme,"Families, including a man whose pregnant partner died after being hit by a speeding driver, criticised the prisoner early release scheme, saying it comes ""at the expense of victims"".",politics
Europe,The drone was found in the cargo area near a Ukrainian aircraft before another suspected object collided with a cargo aircraft in mid-air.,politics
Asia,Their fellow guides say their deaths in Pakistan dealt a devastating blow to Nepal's mountaineering community.,politics
Middle East,"All 14 people on board the Indian-flagged vessel were safely rescued, India's ministry of external affairs says.",politics
Greens review social media operation as Polanski row rumbles on,"They insist it is not connected to the backlash to Zack Polanski this week after he re-posted a photo of a man wearing a t-shirt with an image of a guillotine and the slogan ""we're only making plans for Nigel"" - seen as being a reference to Nigel Farage.",politics
Zack Polanski reported to police over guillotine post,Copyright 2026 BBC. All rights reserved. The BBC is not responsible for the content of external sites.Read about our approach to external linking.,politics
N. Ireland,The former Sinn Féin MEP and republican prisoner says the current political situation is different to when she was in the IRA.,politics
Ex-MP urges Tories to block council candidate jailed for antisemitic abuse against her,"Joshua Bonehill-Paine was convicted of racially harassing Luciana Berger, who is Jewish, in 2016, while already serving a separate jail sentence for sharing antisemitic posts.",politics
Ruthless plotter? Flip-flopper? Dad dancer? Insiders reveal the real Andy Burnham,"King of the north, the well-liked mayor of Greater Manchester. Ruthless plotter – the man who led a shadow revolt to oust the prime minister.",politics
What could happen to prisoner early release scheme now?,"His decision to exclude rapists and some other offenders from the plans comes after the widow of PC Andrew Harper described two of his three killers being freed earlier than had been expected as ""deplorable"".",politics
Africa,"A wave of Kenyan elephant deaths has been blamed on pesticides, but experts tell the BBC they are doubtful.",politics
Andy Burnham rules out early election in exclusive BBC interview,"Explaining his decision, the new prime minister suggested the majority of the electorate ""voted for a manifesto"" in the last election, and vowed he would ""honour that manifesto"" with the support of parliamentary colleagues.",politics
Australia,Emma Lovell was stabbed after confronting two intruders at her Brisbane home on Boxing Day in 2022.,politics
UK,"Joshua Bonehill-Paine was jailed over neo-Nazi activism, but has been selected to stand in a new Somerset Council seat in 2027.",politics
Key takeaways as Andy Burnham becomes PM,The former mayor of Greater Manchester becomes the country's fourth prime minister in five years and the seventh since 2016.,politics
US & Canada,"While the collision was an accident, it is a unique scientific gift for planetary geologists that could provide important data for future space missions.",politics
"Stick to spending limits, PM and chancellor tell ministers in joint memo","After taking office, Burnham announced a host of new cost-of-living policies, includingscrapping VAT on domestic electricity bills, reducing business rates for pubs and capping bus fares in England.",politics
Mum says memories of late son keeps her 'brave',"Julian ""Jools"" Sweeney, from Gloucestershire, died in April 2022. Later that year, a 23-minute inquest into his death recorded a narrative conclusion and ruled out suicide.",technology
Scotland,"Sharif Ahmadzai, 26, is being held in connection with the death of Elisabeth Ross from Edinburgh.",technology
The Chinese robot army transforming the UK's retail industry,"Increasingly, the journey starts with a squat silver floor robot gliding beneath a storage rack, lifting a shelf and carrying it across a warehouse to a waiting worker.",technology
Meet the crypto billionaires building a world where money buys you a vote,"You would never guess that this flat, muddy stretch of floodplain on the Danube River, dotted with alder trees, tents and treehouses, is connected to some of the world's wealthiest men - including the biggest initial investor in the Trump family's crypto business.",technology
N. Ireland,"Anna Owens said she felt ""betrayed and deflated"" when the arrangements she had verbally agreed were changed by a new manager.",technology
Asia,"The company's shares soared by nearly 470% in its market debut, as the AI boom drives chip demand.",technology
Scotland,Candidates in the race to replace Anas Sarwar have two weeks to secure the support needed to reach the ballot.,technology
TikToker faces police probe over secret filming using 'smart glasses',"Footage posted by Scott Margerison includes him swearing at a stranger, making sexualised comments about young women and an interaction with a Sikh shopkeeper where he talks about a plan to ""breed out the white race"".",technology
BBC Verify,"The ship carried armoured personnel carriers and trucks through the English Channel to Africa, satellite images show.",technology
'I feel like I dug my own grave': The workers caught in the AI transition,"She began writing straight out of college, freelanced for years and eventually followed a path taken by many young Filipinos: joining a multinational in the country's booming outsourcing industry.",technology
UK,"Zack Polanski has accused ministers of a ""dereliction of duty"" in response to this summer's heatwaves.",technology
UK,"Hewitt stabbed Angela Lloyd to death after forcing her way into the victim's home, a court hears.",technology
Wales,"Plans to make social care free at the point of use will not happen before 2030, a minister says.",technology
AI stories preferred to human-written ones - study,"The study, published by Cambridge University Press, tested to see whether people aged 18 to 81 could tell the difference between human-written and AI-generated short stories.",technology
My late grandparents are frozen in time on Google Maps - it's my favourite place on the internet,"Ted Boyce and Beryl Boyce can be seen on Google as he holds open the door for her at their home on Cardiff Road in Creigiau, a village just outside Cardiff.",technology
'No excuse' for not getting data protection right,Information Commissioner Paul Vane has been setting out his priorities for the coming years.,technology
Wales,Sam Knight was left with severely blistered feet from hot sand after using a disposable barbecue.,technology
Xbox Series X price hiked by £170 due to rising memory chip costs,"Its premium Series X console with a disc drive will now cost £670, when it previously retailed for £500.",technology
Solitude as a new aspirational lifestyle: 'We are not lonely',"What follows is a nightly routine that is almost meditative in its mundanity: she lights a candle and gazes briefly at the snow-covered landscape outside her window, piles a premade salad onto a plate with the pizza, and settles on her sofa to eat in front of the TV.",technology
Google withdraws new Earth AI tool after warnings over misinformation risks,"Less than 48 hours after the tech giant announced the integration of its AI image generator Nano Banana 2 into Google Earth,it said it was pausing the feature""while we work on implementing stronger guardrails"".",technology
The Sims and EA FC maker Electronic Arts sells for $55bn to Saudi-led group,"The American company is known for making and publishing best-selling games such as EA FC, formerly known as Fifa, The Sims and Mass Effect.",technology
How tech is helping in the battle against wildfires,"Hundreds of thousandsof people have been forced to leave their homes across France, Spain and Portugal as wildfires tore through forests and countryside.",technology
Why WhatsApp usernames could upset Somalia's anti-terror fight,Communications and Technology Minister Ahmed Osman Dirie said it could make it harder to trace and counter criminals in a country that is still battling Islamist militants.,technology
BBC InDepth,"As child immunisation rates fall across the UK, one clinic in west Yorkshire is taking aggressive steps to boost immunisations",technology
Disney agrees deal to let TikTokers use its films and TV shows in videos,"It means clips from hit franchises like Star Wars, Toy Story and the Marvel Cinematic Universe will soon start popping up in videos - which will also be shared on Disney's short-form video platform, Verts.",technology
SpaceX shares sink after first earnings report reveals huge AI spending plans,"While the firm's quarterly revenue had nearly doubled to $7.8bn (£5.8bn) from a year earlier, its spending ballooned to $18.3bn, more than six times what it was a year ago, the bulk of which was for AI.",technology
Latin America,"César Gastélum, who was known for comedy and lifestyle posts, was killed at close range by a man on a motorbike.",technology
In Pictures,Parks are parched and reservoirs diminished as drought is declared in more than half of England.,technology
Asia,"All 14 people on board the Indian-flagged vessel were safely rescued, India's ministry of external affairs says.",technology
Tokenomics: Why making AI pay is tricky,"Firms like Microsoft, Google and Anthropic have invested hundreds of billions of dollars in developing Large Language Models (LLMs) the tech behind those services.",technology
Snapchat joins other popular platforms in fight against 'AI slop',"Such content, commonly called ""AI slop"", has proliferated online as the tech industry has raced to create a greater number of easier to use generative AI tools that can create anything from essays torealistic videos.",technology
Anthropic AI created fake profiles and impersonated people in attempted hack,"In the most serious case, Anthropic's Mythos AI tried to gain access to a service by sending private messages, having set up fake accounts mimicking real people.",technology
Europe,The drone was found in the cargo area near a Ukrainian aircraft before another suspected object collided with a cargo aircraft in mid-air.,technology
Asia,Their fellow guides say their deaths in Pakistan dealt a devastating blow to Nepal's mountaineering community.,technology
Middle East,"All 14 people on board the Indian-flagged vessel were safely rescued, India's ministry of external affairs says.",technology
N. Ireland,The former Sinn Féin MEP and republican prisoner says the current political situation is different to when she was in the IRA.,technology
Why Trump Media's sale of fast access to market-moving social posts is controversial,"From trade wars to military wars, anything the US president says can shift markets, and so teams of traders - as well as a host of automated computer systems - monitor his statements to perform trades within seconds.",technology
Africa,"A wave of Kenyan elephant deaths has been blamed on pesticides, but experts tell the BBC they are doubtful.",technology
Australia,Emma Lovell was stabbed after confronting two intruders at her Brisbane home on Boxing Day in 2022.,technology
UK,"Joshua Bonehill-Paine was jailed over neo-Nazi activism, but has been selected to stand in a new Somerset Council seat in 2027.",technology
US & Canada,"While the collision was an accident, it is a unique scientific gift for planetary geologists that could provide important data for future space missions.",technology
"AI firms must answer for rogue bots, says boss of hacked company",Clement Delangue's company Hugging Face wasbreached by a rogue OpenAI botthat broke out of a test environment and autonomously attacked his firm earlier this month.,technology
